training_number,generation,timestamp,best_fitness,worst_fitness,avg_fitness,median_fitness,std_fitness,best_distance,avg_distance,median_distance,best_stability,avg_stability,best_energy,avg_energy,best_time_alive,avg_time_alive,absolute_best_fitness,absolute_best_distance,population_size,genome_length,mutation_rate,crossover_rate,elite_size
2,51,2025-11-02 17:40:20,3.859363555908203,0,2.0070214557647703,2.6268320083618164,1.339285123078406,3.359363555908203,1.4841149139404297,2.1268320083618164,1.0,0.98,468,467.18,500,498.3,3.859363555908203,3.359363555908203,50,500,0.1,0.7,5
2,52,2025-11-02 17:40:51,4.011686325073242,0,2.144531764984131,2.5965657234191895,1.3071839691044744,3.511686325073242,1.663408546447754,2.0965657234191895,1.0,0.96,470,462.68,500,495.22,3.859363555908203,3.359363555908203,50,500,0.1,0.7,5
2,53,2025-11-02 17:41:21,4.011686325073242,0,2.034822816848755,2.701387882232666,1.3951275488902075,3.511686325073242,1.4636444664001464,2.201387882232666,1.0,0.96,470,466.6,500,499.4,4.011686325073242,3.511686325073242,50,500,0.1,0.7,5
2,54,2025-11-02 17:41:53,4.011686325073242,0,1.7987766456604004,2.314547538757324,1.4477600330551619,3.511686325073242,1.287762393951416,1.8145475387573242,1.0,0.94,470,465.5,500,497.3,4.011686325073242,3.511686325073242,50,500,0.1,0.7,5
2,55,2025-11-02 17:42:24,4.011686325073242,0,2.0800401973724365,2.625385284423828,1.3857696024870263,3.511686325073242,1.5781327533721923,2.125385284423828,1.0,0.94,470,462.1,500,494.18,4.011686325073242,3.511686325073242,50,500,0.1,0.7,5
2,56,2025-11-02 17:42:55,4.011686325073242,0,2.342978582382202,2.8002872467041016,1.342474741596413,3.511686325073242,1.8403633785247804,2.3002872467041016,1.0,0.96,470,467.36,500,497.9,4.011686325073242,3.511686325073242,50,500,0.1,0.7,5
2,57,2025-11-02 17:43:26,4.011686325073242,0,2.1021550464630128,2.736893653869629,1.3937896993243304,3.511686325073242,1.5793155765533446,2.288888931274414,1.0,0.9,470,463.0,500,495.02,4.011686325073242,3.511686325073242,50,500,0.1,0.7,5
2,58,2025-11-02 17:43:58,4.011686325073242,0,2.214814529418945,2.8324737548828125,1.3757557852088522,3.511686325073242,1.6729155254364014,2.3324737548828125,1.0,0.98,470,467.34,500,498.14,4.011686325073242,3.511686325073242,50,500,0.1,0.7,5
2,59,2025-11-02 17:44:29,4.011686325073242,0,2.1444679069519044,2.8505892753601074,1.4702423627135799,3.511686325073242,1.5968641185760497,2.3505892753601074,1.0,0.94,470,464.04,500,493.94,4.011686325073242,3.511686325073242,50,500,0.1,0.7,5
2,60,2025-11-02 17:45:01,4.011686325073242,0,1.9943875408172607,2.7287135124206543,1.5030963383878226,3.511686325073242,1.4489005279541016,2.2542548179626465,1.0,0.94,470,463.16,500,493.34,4.011686325073242,3.511686325073242,50,500,0.1,0.7,5
2,61,2025-11-02 17:45:32,4.011686325073242,0,1.6825065326690674,2.2029173374176025,1.4236768346758437,3.511686325073242,1.1106134271621704,1.7029173374176025,1.0,0.94,470,462.3,500,492.88,4.011686325073242,3.511686325073242,50,500,0.1,0.7,5
2,62,2025-11-02 17:46:03,4.011686325073242,0,1.968724126815796,2.7332286834716797,1.4707209979964762,3.511686325073242,1.4367187213897705,2.2332286834716797,1.0,0.98,470,466.88,500,498.14,4.011686325073242,3.511686325073242,50,500,0.1,0.7,5
2,63,2025-11-02 17:46:35,4.011686325073242,0,2.0648921585083007,2.621572494506836,1.4976526978959046,3.511686325073242,1.516858377456665,2.121572494506836,1.0,0.96,470,466.64,500,497.56,4.011686325073242,3.511686325073242,50,500,0.1,0.7,5
2,64,2025-11-02 17:47:06,4.011686325073242,0,2.108455181121826,2.8078837394714355,1.4308163353365104,3.511686325073242,1.5599800300598146,2.3078837394714355,1.0,0.94,470,466.1,500,496.94,4.011686325073242,3.511686325073242,50,500,0.1,0.7,5
2,65,2025-11-02 17:47:37,4.011686325073242,0,2.545344648361206,2.8760972023010254,1.1291920604421102,3.511686325073242,2.0038664817810057,2.3760972023010254,1.0,0.88,470,454.3,500,483.64,4.011686325073242,3.511686325073242,50,500,0.1,0.7,5
2,66,2025-11-02 17:48:08,4.011686325073242,0,2.1868144416809083,2.8683409690856934,1.441817259620456,3.511686325073242,1.6290761089324952,2.3683409690856934,1.0,0.98,470,468.02,500,500.0,4.011686325073242,3.511686325073242,50,500,0.1,0.7,5
2,67,2025-11-02 17:48:40,4.011686325073242,0,1.8180783367156983,2.322014331817627,1.4152792787300534,3.511686325073242,1.2387197017669678,1.822014331817627,1.0,0.94,470,464.08,500,496.52,4.011686325073242,3.511686325073242,50,500,0.1,0.7,5
2,68,2025-11-02 17:49:11,4.011686325073242,0,2.3469912242889404,2.908031940460205,1.3112750302779825,3.511686325073242,1.8090885066986084,2.4408082962036133,1.0,0.96,470,465.86,500,498.34,4.011686325073242,3.511686325073242,50,500,0.1,0.7,5
2,69,2025-11-02 17:49:43,4.011686325073242,0,1.736668634414673,2.2217047214508057,1.5545130045687547,3.511686325073242,1.1427330684661865,1.7217047214508057,1.0,0.98,470,466.18,500,497.9,4.011686325073242,3.511686325073242,50,500,0.1,0.7,5
2,70,2025-11-02 17:50:15,4.011686325073242,0,1.9048401165008544,2.4971563816070557,1.4604971086263325,3.511686325073242,1.352359323501587,1.9971563816070557,1.0,0.96,470,468.18,500,499.64,4.011686325073242,3.511686325073242,50,500,0.1,0.7,5
2,71,2025-11-02 17:50:46,4.011686325073242,0,2.0035994720458983,2.549929141998291,1.3943810061333017,3.511686325073242,1.4300837564468383,2.049929141998291,1.0,0.94,470,464.88,500,496.84,4.011686325073242,3.511686325073242,50,500,0.1,0.7,5
